Name,Short Description,Category,Page link,Thumbnail link
AIM Agri-Aqua Innovation Challenge — Student Teams,The Student Teams track of the AIM Agri-Aqua Innovation Challenge is open to Filipino college and graduate students from any school — it is not restricted to AIM students. This makes it one of the…,Competition,https://nelle3549.github.io/Innovation-hubs/grants/aim-agri-aqua-innovation-challenge-student-teams.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/aim-agri-aqua-innovation-challenge-student-teams.webp
Blue Ocean Student Entrepreneur Competition,"Blue Ocean is an exclusively high-school entrepreneurship competition, entirely virtual, requiring no travel. Its 2026 edition drew 23,000+ students from 173 countries, making it one of the largest…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/blue-ocean-student-entrepreneur-competition.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/blue-ocean-student-entrepreneur-competition.webp
Conrad Challenge,"The Conrad Challenge is an annual, multi-round innovation and entrepreneurship competition for students aged 13–18, run by the Conrad Foundation in partnership with Space Center Houston. Teams build…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/conrad-challenge.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/conrad-challenge.webp
Diamond Challenge (High School Entrepreneurship),"The Diamond Challenge, run by the University of Delaware's Horn Entrepreneurship, is one of the largest high-school-level entrepreneurship competitions in the world. It runs two tracks: Business…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/diamond-challenge.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/diamond-challenge.webp
DisruptorX — Serial Disruptors National Student Pitch Competition,DisruptorX is the annual national pitching competition run by Serial Disruptors — the company behind the Startupreneurship courseware and the Startupreneur 4-in-1 e-learning app. It surfaces the…,Competition,https://nelle3549.github.io/Innovation-hubs/grants/disruptorx-serial-disruptors-national-student-pitch-competition.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/disruptorx-serial-disruptors-national-student-pitch-competition.webp
Enactus Philippines (national competition → Enactus World Cup),"Enactus runs student-led social enterprise programmes through university chapters worldwide. In the Philippines, Enactus Philippines is the national member organisation and handles the country's…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/enactus-philippines.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/enactus-philippines.webp
Fowler Global Social Innovation Challenge (GSIC),"The Fowler Global Social Innovation Challenge (GSIC), run by the University of San Diego's Center for Peace and Commerce, is a global student social-venture competition. Its 2026 edition drew student…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/fowler-global-social-innovation-challenge.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/fowler-global-social-innovation-challenge.webp
HKUST One Million — International Student Track,The International Student Track of the HKUST-Sino One Million Dollar Entrepreneurship Competition is explicitly open to students from non-local (non-Hong Kong) universities worldwide — including the…,Competition,https://nelle3549.github.io/Innovation-hubs/grants/hkust-one-million-international-student-track.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/hkust-one-million-international-student-track.webp
James Dyson Award — Philippines,"The James Dyson Award is an international design engineering competition run by the James Dyson Foundation, open across 28 countries and regions — including the Philippines, which runs its own…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/james-dyson-award-philippines.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/james-dyson-award-philippines.webp
NASA Space Apps Challenge,"The NASA Space Apps Challenge is the world's largest annual global hackathon, run by NASA with international space-agency partners across 167 countries and territories. Teams solve real challenges…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/nasa-space-apps-challenge.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/nasa-space-apps-challenge.webp
NFTE World Series of Innovation,"The NFTE World Series of Innovation runs multiple sponsor-backed innovation challenges, each tied to a UN Sustainable Development Goal. Students submit solutions to specific briefs rather than…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/nfte-world-series-of-innovation.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/nfte-world-series-of-innovation.webp
Startup World Cup (Philippines Regional),The Startup World Cup (organized by Pegasus Tech Ventures) is a global pitch competition with 70+ regional events feeding a Grand Finale in Silicon Valley. The Philippines (Manila) regional selects a…,Competition,https://nelle3549.github.io/Innovation-hubs/grants/startup-world-cup.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/startup-world-cup.webp
Technovation Girls,"Technovation Girls is a global technology-entrepreneurship program in which girls and gender-expansive youth build a mobile app or AI solution addressing a community problem, supported by a mentor.",Competition,https://nelle3549.github.io/Innovation-hubs/grants/technovation-girls.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/technovation-girls.webp
Zayed Sustainability Prize,"The Zayed Sustainability Prize is the UAE's global award for sustainability and humanitarian solutions. It spans six categories — including a dedicated Global High Schools category, which is what…",Competition,https://nelle3549.github.io/Innovation-hubs/grants/zayed-sustainability-prize.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/zayed-sustainability-prize.webp
Startup Grant Fund (SGF) — DOST-PCAARRD (AANR sector),"The Startup Grant Fund (SGF) of DOST-PCAARRD provides financial and technical support to startups and spinoff companies commercializing technologies in the Agriculture, Aquatic and Natural Resources…",Grant / Fund,https://nelle3549.github.io/Innovation-hubs/grants/startup-grant-fund-dost-pcaarrd.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/startup-grant-fund-dost-pcaarrd.webp
Plug and Play APAC,"Plug and Play APAC is the regional arm of one of the world's largest innovation platforms. It runs sector accelerators (fintech, health, and more) across Singapore, Indonesia, Thailand, and the…",Programs,https://nelle3549.github.io/Innovation-hubs/grants/plug-and-play-apac.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/plug-and-play-apac.webp
Youth Co:Lab Springboard,"Youth Co:Lab Springboard is UNDP and Citi Foundation's youth social-entrepreneurship program across Asia-Pacific, of which the Philippines is part.",Programs,https://nelle3549.github.io/Innovation-hubs/grants/youth-co-lab-springboard.html,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/grants/youth-co-lab-springboard.webp
