Name,Description,Category,Page link,Region,Thumbnail link
FabLab Marawi,"Fab Lab Marawi is a digital fabrication and arts innovation center established through a collaboration between Mindanao State University – Main (MSU-Marawi) and the Department of Trade and Industry (DTI), under MSU-Marawi’s Office of the Vice Chancellor for Research, Extension, and Development (OVCRED). Located at Macarambon Hall, 1st Street, MSU Marawi City, the lab was established with a deliberate and distinctive purpose: to serve as a center for reconstruction, economic empowerment, and cultural innovation for Marawi and Lanao del Sur — particularly for MSMEs and communities affected by the 2017 Marawi Siege.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/fablab-marawi.html,BARMM,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fablab-marawi.webp
DOST-PCAARRD-BSU Agriculture & Food TBI,"The DOST-PCAARRD-BSU Agriculture & Food TBI (now also operating as an Innovation Center, ATBI/IC) is hosted by Benguet State University in La Trinidad, Benguet and serves the Cordillera Administrative Region (CAR). Established under the DOST-PCAARRD ATBI Program, BSU ATBI/IC provides a stimulating physical environment and professional support services for start-up and early-stage micro-scale agricultural and food enterprises.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/dost-pcaarrd-bsu-agriculture-food-tbi.html,CAR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/dost-pcaarrd-bsu-agriculture-food-tbi.webp
FabLab SLU — Saint Louis University,"FabLab SLU is the digital fabrication laboratory of Saint Louis University, operating under the SLU Engineering Institute and Shared Service Infrastructure Facilities (EISSIF) in Baguio City. Established through the DTI Shared Service Facilities (SSF) program, FabLab SLU is registered on the global fablabs.io directory and serves as SLU's hands-on innovation and prototyping facility in the Cordillera Administrative Region.",Fabrication Laboratory (FabLab),https://nelle3549.github.io/Innovation-hubs/centers/fablab-slu-saint-louis-university.html,CAR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/fablab-slu-saint-louis-university.webp
Food Science Research and Innovation Center — Benguet State University,"The Food Science Research and Innovation Center (FSRIC) at Benguet State University is the Cordillera Administrative Region's designated Food Innovation Center under the DOST network. Located at Km. 6, La Trinidad, Benguet — the heart of the Philippines' premier highland vegetable and strawberry production zone — the FSRIC was formally launched in April 2018.",Food Innovation Center,https://nelle3549.github.io/Innovation-hubs/centers/food-science-research-and-innovation-center-benguet-state-university.html,CAR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/food-science-research-and-innovation-center-benguet-state-university.webp
SIRIB Center — Saint Louis University,"The SIRIB Center (SLU Incubator for Research, Innovation & Business) is Saint Louis University's technology business incubator and the primary innovation support platform for startups and research-based ventures in the Cordillera Administrative Region. Based at SLU's campus in Baguio City, the SIRIB Center anchors its work in highland engineering, sustainable technology, and the unique innovation landscape of the Cordillera.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/sirib-center-saint-louis-university.html,CAR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/sirib-center-saint-louis-university.webp
UCIANS — UC Innovation & Nurturing Space (TBI),"UCIANS (UC Innovation & Nurturing Space) is the Technology Business Incubator and innovation hub of the University of the Cordilleras (UC) in Baguio City, operating under the University's Innovation, Technology Transfer, and Entrepreneurship Office (InTTO). UCIANS serves as the primary platform for cultivating startups, student entrepreneurs, and technology ventures at UC — translating the university's academic research and student innovation into commercially viable businesses that contribute to the Cordillera region's economy.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/ucians-uc-innovation-nurturing-space.html,CAR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/ucians-uc-innovation-nurturing-space.webp
UP Baguio SILBI TBI,"UP Baguio TBI, known as SILBI (Social Innovation Laboratory and Business Inclusion), is the Technology Business Incubator hosted by the University of the Philippines Baguio in Baguio City, Cordillera Administrative Region (CAR). Established under the DOST-PCIEERD Higher Education Institution Readiness for Innovation and Technopreneurship (HEIRIT) program, SILBI serves as a nurturing space for local artisans, crafters, and startups to grow their businesses while promoting and protecting traditional crafts.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/up-baguio-silbi-tbi.html,CAR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/up-baguio-silbi-tbi.webp
Adamson NEST — Neo Science & Technology Incubation Center,"NEST (Neo Science and Technology Incubation Center) — formally incorporated as AdUNEST Inc. — is the Technology Business Incubator of Adamson University in Manila, serving the National Capital Region. NEST is part of the SCALE-NCR (Strategic and Collaborative Alliance for Leveraging the Ecosystem of Startups – NCR) consortium, a DOST-NCR-supported network of Metro Manila TBIs that includes TIP NITRO (lead), DLSU Animo Labs, UST TOMASInno Center, Mapua Think and Tinker Lab, UPD UPSCALE Innovation Hub, MC TBI, and QBO Innovation Hub.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/adamson-nest-neo-science-technology-incubation-center.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/adamson-nest-neo-science-technology-incubation-center.webp
AIM–Dado Banatao Incubator,"The AIM–Dado Banatao Incubator is a premier technology startup incubator hosted by the Asian Institute of Management (AIM) in Makati City. Named after legendary Filipino technologist and venture capitalist Dado Banatao, the incubator focuses on nurturing early-stage technology ventures with high commercial potential across Southeast Asia.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/aim-dado-banatao-incubator.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/aim-dado-banatao-incubator.webp
Brainsparks,"Brainsparks is a startup incubator and accelerator based in Metro Manila, founded in 2015 to support Filipino founders driving impactful innovation. It positions itself as an innovation ecosystem booster, helping early-stage entrepreneurs build the foundation, mindset, and principles for sustainable growth.",Technology Business Incubator,https://nelle3549.github.io/Innovation-hubs/centers/brainsparks.html,NCR,https://nelle3549.github.io/Innovation-hubs/hub%20thumbnails/centers/brainsparks.webp
